q,trait,reverse
אני מקפיד לבדוק את העבודה שלי פעמיים גם כשיש לחץ זמן.,Conscientiousness,FALSE
אני מרגיש בנוח לקחת הובלה כשלאף אחד אחר אין מושג מה לעשות.,Extraversion,FALSE
קשה לי מאוד לקבל ביקורת מאנשים שצעירים ממני.,Agreeableness,TRUE
אני נשאר רגוע לחלוטין גם כשאני נמצא בסיטואציה חברתית מתוחה.,Emotionality,TRUE
"אם אוכל להרוויח סכום כסף גדול בדרך לא אתית אך חוקית, אעשה זאת.",Honesty-Humility,TRUE
אני נהנה לפתור בעיות לוגיות מורכבות בזמני הפנוי.,Openness to Experience,FALSE
"כשאני עושה טעות, אני מודה בה מיד ולא מנסה להסתיר אותה.",Honesty-Humility,FALSE
אני נוטה לאבד את הריכוז כשהמשימה הופכת למונוטונית.,Conscientiousness,TRUE
אני מעדיף לעבוד לבד מאשר לשתף פעולה עם קבוצה.,Extraversion,TRUE
קל לי מאוד להבין מה אדם אחר מרגיש רק לפי מבט בפניו.,Emotionality,FALSE
אני תמיד מחפש דרכים חדשות לייעל את צורת העבודה שלי.,Openness to Experience,FALSE
אני מאמין שכללים נועדו עבור אנשים שאין להם שיקול דעת עצמאי.,Honesty-Humility,TRUE
"גם כשאני כועס מאוד, אני לא מרים את הקול על אנשים אחרים.",Agreeableness,FALSE
אני דואג לגבי דברים שאולי יקרו בעתיד הרחוק.,Emotionality,FALSE
אני תמיד מגיע לפגישות כמה דקות לפני הזמן.,Conscientiousness,FALSE
אני די אשתעמם מביקור בגלריה לאומנות.,Openness to Experience,TRUE
"אני מתכנן קדימה ומארגן את הדברים, כדי להימנע מערבול ברגע האחרון.",Conscientiousness,FALSE
"אני כמעט ולא שומר טינה, גם נגד אנשים שעשו לי עוול קשה.",Agreeableness,FALSE
באופן כללי אני מרגיש מרוצה למדי מעצמי.,Extraversion,FALSE
הייתי מרגיש מפוחד אם הייתי צריך לנסוע בתנאי מזג אוויר גרועים.,Emotionality,FALSE
לא הייתי משתמש בחנופה כדי לקבל העלאה במשכורת או קידום.,Honesty-Humility,FALSE
אני מעוניין ללמוד על ההיסטוריה והפוליטיקה של מדינות אחרות.,Openness to Experience,FALSE
לעתים קרובות כשאני מנסה להשיג מטרה אני דוחף את עצמי קשה מאוד.,Conscientiousness,FALSE
אנשים לפעמים אומרים לי שאני ביקורתי מדי כלפי אחרים.,Agreeableness,TRUE
אני כמעט ולא מביע את הדעות שלי במפגשים קבוצתיים.,Extraversion,TRUE
לפעמים אני לא יכול שלא לדאוג לגבי דברים קטנים.,Emotionality,FALSE
"אם אדע שלעולם לא יתפסו אותי, הייתי מוכן לגנוב מיליון דולר.",Honesty-Humility,TRUE
"אני אהנה ליצור יצירת אמנות, כמו לכתוב רומן, שיר או ציור.",Openness to Experience,FALSE
"כאשר אני עובד על משהו, אני לא מקדיש תשומת לב רבה מידי לפרטים קטנים.",Conscientiousness,TRUE
אנשים לפעמים אומרים לי שאני עקשן מדי.,Agreeableness,TRUE
אני מעדיף מקומות עבודה שכוללים אינטראקציה חברתית פעילה.,Extraversion,FALSE
"כאשר אני סובל מחוויה מכאיבה, אני צריך מישהו שיגרום לי להרגיש בנוח.",Emotionality,FALSE
שיהיה לי הרבה כסף זה לא משהו שחשוב לי באופן מיוחד.,Honesty-Humility,FALSE
אני חושב שלהקדיש תשומת לב לרעיונות רדיקליים זה בזבוז הזמן.,Openness to Experience,TRUE
אני מקבל החלטות על סמך התחושה של הרגע ולא על בסיס מחשבה זהירה.,Conscientiousness,TRUE
אנשים חושבים עליי כמישהו שיש לו מזג חם.,Agreeableness,TRUE
"ברוב הימים, אני מרגיש עליז ואופטימי.",Extraversion,FALSE
אני מרגיש שבא לי לבכות כשאני רואה אנשים אחרים בוכים.,Emotionality,FALSE
אני חושב שמגיע לי יותר כבוד מזה המגיע לאדם הממוצע.,Honesty-Humility,TRUE
"אם הייתה לי ההזדמנות, הייתי רוצה להשתתף בקונצרט מוסיקה קלאסית.",Openness to Experience,FALSE
"כאשר עובדים, לפעמים יש לי קשיים בשל היותי לא מאורגן.",Conscientiousness,TRUE
"היחס שלי לאנשים שהתייחסו אליי רע הוא ""לסלוח ולשכוח.""",Agreeableness,FALSE
אני מרגיש שאני אדם לא פופולארי.,Extraversion,TRUE
"כשמדובר בסכנה פיזית, אני מאוד חושש.",Emotionality,FALSE
"אם אני רוצה משהו ממישהו, אני צוחק מהבדיחות הגרועות ביותר שלו.",Honesty-Humility,TRUE
"אני מרגיש רע מאוד כשאני מאחר לפגישה, אפילו בכמה דקות.",Conscientiousness,FALSE
"לדעתי, רוב האנשים דואגים לאינטרסים שלהם יותר מאשר לערכי מוסר.",Honesty-Humility,TRUE
"כשאני נמצא בקבוצה, אני בדרך כלל נותן לאחרים להוביל את השיחה.",Extraversion,TRUE
אני נוטה לסלוח לאנשים שפגעו בי ברגע שהם מבקשים סליחה.,Agreeableness,FALSE
אני נלחץ מאוד כשאני צריך לבצע משימה תחת צפייה של אחרים.,Emotionality,FALSE
"אני תמיד מחפש הזדמנויות ללמוד דברים חדשים, גם אם הם לא קשורים לעיסוקי.",Openness to Experience,FALSE
אני חושב שזה בסדר לעגל פינות אם אף אחד לא נפגע מזה.,Honesty-Humility,TRUE
אני מקפיד שהשולחן שלי יהיה מסודר לפני שאני מתחיל לעבוד.,Conscientiousness,FALSE
"כשאני נתקל בבעיה מורכבת, אני נהנה לנסות למצוא פתרון יצירתי.",Openness to Experience,FALSE
אני מרגיש חסר אונים כשדברים לא מסתדרים לפי התוכנית שלי.,Emotionality,FALSE
"אם מישהו מדבר אליי בגסות, אני מתקשה להישאר נחמד אליו.",Agreeableness,TRUE
אני אוהב להיות במרכז העניינים באירועים חברתיים.,Extraversion,FALSE
אני תמיד בודק את ההודעות שלי כמה פעמים לפני שאני שולח אותן.,Conscientiousness,FALSE
"לדעתי, להיות עשיר ומפורסם זה אחד הדברים החשובים ביותר בחיים.",Honesty-Humility,TRUE
אני נוטה להתווכח על דברים קטנים רק כדי להוכיח שאני צודק.,Agreeableness,TRUE
אני מרגיש בטוח מאוד ביכולות שלי להתמודד עם אתגרים חדשים.,Extraversion,FALSE
"כשאני רואה סרט עצוב, אני לעיתים קרובות מוצא את עצמי דומע.",Emotionality,FALSE
אני מעדיף ללכת בדרכים מוכרות מאשר לנסות דרך חדשה שאולי תקצר את הזמן.,Openness to Experience,TRUE
אני נוטה להשאיר משימות קשות לרגע האחרון.,Conscientiousness,TRUE
